City, Time, Temperature, Condition
Naga, 2025-08-16 09:00:00, 32.99, light rain
Naga, 2025-08-16 12:00:00, 29.56, light rain
Naga, 2025-08-16 15:00:00, 26.61, light rain
Naga, 2025-08-16 18:00:00, 25.78, overcast clouds
Naga, 2025-08-16 21:00:00, 27.06, overcast clouds
Naga, 2025-08-17 00:00:00, 30.5, overcast clouds
Naga, 2025-08-17 03:00:00, 31.67, overcast clouds
Naga, 2025-08-17 06:00:00, 30.54, light rain
Naga, 2025-08-17 09:00:00, 29.35, light rain
Naga, 2025-08-17 12:00:00, 26.19, light rain
Naga, 2025-08-17 15:00:00, 25.27, light rain
Naga, 2025-08-17 18:00:00, 24.76, light rain
Naga, 2025-08-17 21:00:00, 24.54, overcast clouds
Naga, 2025-08-18 00:00:00, 28.18, overcast clouds
Naga, 2025-08-18 03:00:00, 32.81, overcast clouds
Naga, 2025-08-18 06:00:00, 30.84, light rain
Naga, 2025-08-18 09:00:00, 30.14, light rain
Naga, 2025-08-18 12:00:00, 26.03, light rain
Naga, 2025-08-18 15:00:00, 25.71, clear sky
Naga, 2025-08-18 18:00:00, 25.12, light rain
Naga, 2025-08-18 21:00:00, 24.82, broken clouds
Naga, 2025-08-19 00:00:00, 28.78, broken clouds
Naga, 2025-08-19 03:00:00, 32.55, scattered clouds
Naga, 2025-08-19 06:00:00, 31.37, light rain
Naga, 2025-08-19 09:00:00, 28.82, light rain
Naga, 2025-08-19 12:00:00, 25.87, light rain
Naga, 2025-08-19 15:00:00, 25.59, light rain
Naga, 2025-08-19 18:00:00, 25.09, light rain
Naga, 2025-08-19 21:00:00, 24.95, light rain
Naga, 2025-08-20 00:00:00, 26.15, light rain
Naga, 2025-08-20 03:00:00, 27.23, light rain
Naga, 2025-08-20 06:00:00, 28.24, light rain
Naga, 2025-08-20 09:00:00, 26.46, light rain
Naga, 2025-08-20 12:00:00, 25.23, overcast clouds
Naga, 2025-08-20 15:00:00, 25.03, light rain
Naga, 2025-08-20 18:00:00, 24.56, light rain
Naga, 2025-08-20 21:00:00, 24.28, overcast clouds
Naga, 2025-08-21 00:00:00, 27.46, overcast clouds
Naga, 2025-08-21 03:00:00, 31.02, light rain
Naga, 2025-08-21 06:00:00, 28.76, moderate rain
Naga, 2025-08-16 09:00:00, 32.99, light rain
Naga, 2025-08-16 12:00:00, 29.56, light rain
Naga, 2025-08-16 15:00:00, 26.61, light rain
Naga, 2025-08-16 18:00:00, 25.78, overcast clouds
Naga, 2025-08-16 21:00:00, 27.06, overcast clouds
Naga, 2025-08-17 00:00:00, 30.5, overcast clouds
Naga, 2025-08-17 03:00:00, 31.67, overcast clouds
Naga, 2025-08-17 06:00:00, 30.54, light rain
Naga, 2025-08-17 09:00:00, 29.35, light rain
Naga, 2025-08-17 12:00:00, 26.19, light rain
Naga, 2025-08-17 15:00:00, 25.27, light rain
Naga, 2025-08-17 18:00:00, 24.76, light rain
Naga, 2025-08-17 21:00:00, 24.54, overcast clouds
Naga, 2025-08-18 00:00:00, 28.18, overcast clouds
Naga, 2025-08-18 03:00:00, 32.81, overcast clouds
Naga, 2025-08-18 06:00:00, 30.84, light rain
Naga, 2025-08-18 09:00:00, 30.14, light rain
Naga, 2025-08-18 12:00:00, 26.03, light rain
Naga, 2025-08-18 15:00:00, 25.71, clear sky
Naga, 2025-08-18 18:00:00, 25.12, light rain
Naga, 2025-08-18 21:00:00, 24.82, broken clouds
Naga, 2025-08-19 00:00:00, 28.78, broken clouds
Naga, 2025-08-19 03:00:00, 32.55, scattered clouds
Naga, 2025-08-19 06:00:00, 31.37, light rain
Naga, 2025-08-19 09:00:00, 28.82, light rain
Naga, 2025-08-19 12:00:00, 25.87, light rain
Naga, 2025-08-19 15:00:00, 25.59, light rain
Naga, 2025-08-19 18:00:00, 25.09, light rain
Naga, 2025-08-19 21:00:00, 24.95, light rain
Naga, 2025-08-20 00:00:00, 26.15, light rain
Naga, 2025-08-20 03:00:00, 27.23, light rain
Naga, 2025-08-20 06:00:00, 28.24, light rain
Naga, 2025-08-20 09:00:00, 26.46, light rain
Naga, 2025-08-20 12:00:00, 25.23, overcast clouds
Naga, 2025-08-20 15:00:00, 25.03, light rain
Naga, 2025-08-20 18:00:00, 24.56, light rain
Naga, 2025-08-20 21:00:00, 24.28, overcast clouds
Naga, 2025-08-21 00:00:00, 27.46, overcast clouds
Naga, 2025-08-21 03:00:00, 31.02, light rain
Naga, 2025-08-21 06:00:00, 28.76, moderate rain
